k,pdf_Num_Lines_Out,ccdf_Num_Lines_Out
1,7580.045600932406,0.2419954399067593
2,1285.3903330594487,0.11345640660081446
3,455.24103939077577,0.06793230266173678
4,217.97076103598155,0.04613522655813862
5,123.11433035734895,0.03382379352240383
6,77.1977455086628,0.026104018971537468
7,52.02604783105033,0.020901414188432388
8,36.962509709809375,0.01720516321745147
9,27.34078590768651,0.014471084626682784
10,20.87717916670023,0.012383366710012722
11,16.357108871446094,0.010747655822868074
12,13.090849453282004,0.009438570877539854
13,10.66539234641202,0.00837203164289868
14,8.822345203450304,0.00748979712255371
15,7.393978699664376,0.006750399252587247
16,6.267937578206747,0.0061236054947665375
17,5.366888585423699,0.005586916636224237
18,4.63632855977348,0.005123283780246846
19,4.037035792344278,0.0047195802010125965
20,3.540258950305739,0.004365554305981956
21,3.124571188211348,0.004053097187160848
22,2.7737655849420593,0.00377572062866649
23,2.4754180770954637,0.0035281788209569065
24,2.219887877286044,0.0033061900332284067
25,1.9996104426435117,0.003106228988964066
26,1.8085896763837281,0.002925370021325757
27,1.6420280892300758,0.0027611672124028264
28,1.496053960154737,0.00261156181638722
29,1.3675176606833424,0.0024748100503190207
30,1.2538379376275754,0.0023494262565560975
31,1.1528847170671919,0.002234137784849377
32,1.0628889053458943,0.002127848894314832
33,0.9823723544815124,0.0020296116588667257
34,0.9100930349894131,0.0019386023553676912
35,0.8450017819248057,0.0018541021771751875
36,0.7862079234572418,0.0017754813848295248
37,0.7329517814000137,0.0017021862066894933
38,0.6845825282444234,0.0016337279538650717
39,0.6405402490842257,0.001569673928956794
40,0.6003413265337648,0.0015096397963033636
41,0.5635664683570384,0.001453283149467799
42,0.5298508494182286,0.0014002980645259067
43,0.49887595485274433,0.0013504104690406082
44,0.47036279948222753,0.0013033741890924322
45,0.4440662663103791,0.001258967562461355
46,0.4197703594537376,0.0012169905265160263
47,0.397284207780427,0.0011772621057379862
48,0.3764386875968593,0.0011396182369783903
49,0.35708355799149677,0.0011039098811791437
50,0.3390850224624678,0.0010700013789329832
51,0.3223236463936627,0.0010377690142936435
52,0.30669257269491873,0.0010070997570241769
53,0.2920959881705997,0.0009778901582071509
54,0.2784478014550191,0.000950045378061648
55,0.26567050006171794,0.0009234783280555048
56,0.25369415955514285,0.0008981089120998487
57,0.2424555823171441,0.0008738633538681873
58,0.23189754704301738,0.0008506735991637981
59,0.22196815311748366,0.0008284767838521168
60,0.21262024651295408,0.0008072147592007584
61,0.20381091591862116,0.0007868336676088994
62,0.19550104952770467,0.0007672835626560959
63,0.18765494434450825,0.0007485180682216264
64,0.18023996107354487,0.0007304940721143405
65,0.1732262186609264,0.0007131714502482955
66,0.16658632340682225,0.000696512817907724
67,0.16029512828423512,0.0006804833050791936
68,0.15432951870582792,0.0006650503532086294
69,0.14866822149526845,0.0006501835310590565
70,0.14329163425752317,0.0006358543676332484
71,0.13818167271608217,0.0006220362003617197
72,0.1333216339044678,0.0006087040369711083
73,0.12869607337304845,0.0005958344296338458
74,0.12429069480721731,0.0005834053601531108
75,0.12009225065528717,0.0005713961350874985
76,0.1160884525389316,0.0005597872898336353
77,0.11226789036979842,0.0005485605007966576
78,0.10861995922650877,0.0005376985048739513
79,0.10513479315956302,0.0005271850255580413
80,0.10180320519017262,0.0005170047050390147
81,0.09861663285482063,0.0005071430417535883
82,0.09556708872219498,0.0004975863328814389
83,0.09264711537455109,0.0004883216213439345
84,0.0898497444028242,0.00047933664690358313
85,0.08716845901503048,0.0004706198010020479
86,0.08459715990160278,0.0004621600850119867
87,0.08213013404011031,0.0004539470716080629
88,0.07976202615599894,0.0004459708689923403
89,0.0774878125861575,0.00043822208773380833
90,0.07530277731877381,0.00043069181000199297
91,0.07320249000653709,0.0004233715610013622
92,0.07118278577115063,0.0004162532824241172
93,0.06923974663567319,0.0004093293077606086
94,0.06736968443769341,0.0004025923393167208
95,0.06556912509101241,0.00039603542680766157
96,0.06383479407657769,0.00038965194739992715
97,0.0621636030550704,0.00038343558709441616
98,0.060552637503959526,0.000377380323344112
99,0.058999145291146554,0.00037148040881496147
100,0.05750052610565935,0.00036573035620446337
