k,pdf_Num_Lines_Out,ccdf_Num_Lines_Out
1,758.0045600932407,0.2419954399067593
2,128.53903330594488,0.11345640660081446
3,45.524103939077584,0.06793230266173678
4,21.797076103598155,0.04613522655813862
5,12.311433035734895,0.03382379352240383
6,7.719774550866281,0.026104018971537468
7,5.202604783105033,0.020901414188432388
8,3.6962509709809375,0.01720516321745147
9,2.734078590768651,0.014471084626682784
10,2.087717916670023,0.012383366710012722
11,1.6357108871446095,0.010747655822868074
12,1.3090849453282005,0.009438570877539854
13,1.066539234641202,0.00837203164289868
14,0.8822345203450306,0.00748979712255371
15,0.7393978699664376,0.006750399252587247
16,0.6267937578206748,0.0061236054947665375
17,0.53668885854237,0.005586916636224237
18,0.463632855977348,0.005123283780246846
19,0.4037035792344278,0.0047195802010125965
20,0.3540258950305739,0.004365554305981956
21,0.3124571188211348,0.004053097187160848
22,0.27737655849420595,0.00377572062866649
23,0.24754180770954637,0.0035281788209569065
24,0.22198878772860445,0.0033061900332284067
25,0.19996104426435118,0.003106228988964066
26,0.18085896763837284,0.002925370021325757
27,0.1642028089230076,0.0027611672124028264
28,0.1496053960154737,0.00261156181638722
29,0.13675176606833425,0.0024748100503190207
30,0.12538379376275754,0.0023494262565560975
31,0.1152884717067192,0.002234137784849377
32,0.10628889053458944,0.002127848894314832
33,0.09823723544815124,0.0020296116588667257
34,0.09100930349894132,0.0019386023553676912
35,0.08450017819248058,0.0018541021771751875
36,0.0786207923457242,0.0017754813848295248
37,0.07329517814000139,0.0017021862066894933
38,0.06845825282444234,0.0016337279538650717
39,0.06405402490842257,0.001569673928956794
40,0.06003413265337648,0.0015096397963033636
41,0.05635664683570384,0.001453283149467799
42,0.05298508494182286,0.0014002980645259067
43,0.04988759548527444,0.0013504104690406082
44,0.04703627994822276,0.0013033741890924322
45,0.044406626631037914,0.001258967562461355
46,0.04197703594537376,0.0012169905265160263
47,0.03972842077804271,0.0011772621057379862
48,0.03764386875968593,0.0011396182369783903
49,0.03570835579914968,0.0011039098811791437
50,0.03390850224624678,0.0010700013789329832
51,0.03223236463936627,0.0010377690142936435
52,0.030669257269491875,0.0010070997570241769
53,0.029209598817059968,0.0009778901582071509
54,0.027844780145501912,0.000950045378061648
55,0.026567050006171794,0.0009234783280555048
56,0.02536941595551429,0.0008981089120998487
57,0.024245558231714412,0.0008738633538681873
58,0.02318975470430174,0.0008506735991637981
59,0.02219681531174837,0.0008284767838521168
60,0.02126202465129541,0.0008072147592007584
61,0.02038109159186212,0.0007868336676088994
62,0.01955010495277047,0.0007672835626560959
63,0.018765494434450827,0.0007485180682216264
64,0.018023996107354487,0.0007304940721143405
65,0.017322621866092645,0.0007131714502482955
66,0.016658632340682225,0.000696512817907724
67,0.016029512828423513,0.0006804833050791936
68,0.015432951870582792,0.0006650503532086294
69,0.014866822149526846,0.0006501835310590565
70,0.014329163425752318,0.0006358543676332484
71,0.01381816727160822,0.0006220362003617197
72,0.01333216339044678,0.0006087040369711083
73,0.012869607337304845,0.0005958344296338458
74,0.012429069480721732,0.0005834053601531108
75,0.012009225065528718,0.0005713961350874985
76,0.011608845253893161,0.0005597872898336353
77,0.011226789036979844,0.0005485605007966576
78,0.010861995922650879,0.0005376985048739513
79,0.010513479315956302,0.0005271850255580413
80,0.010180320519017263,0.0005170047050390147
81,0.009861663285482063,0.0005071430417535883
82,0.009556708872219499,0.0004975863328814389
83,0.009264711537455108,0.0004883216213439345
84,0.008984974440282421,0.00047933664690358313
85,0.008716845901503048,0.0004706198010020479
86,0.00845971599016028,0.0004621600850119867
87,0.008213013404011031,0.0004539470716080629
88,0.007976202615599894,0.0004459708689923403
89,0.00774878125861575,0.00043822208773380833
90,0.007530277731877382,0.00043069181000199297
91,0.00732024900065371,0.0004233715610013622
92,0.007118278577115064,0.0004162532824241172
93,0.0069239746635673186,0.0004093293077606086
94,0.006736968443769342,0.0004025923393167208
95,0.006556912509101242,0.00039603542680766157
96,0.00638347940765777,0.00038965194739992715
97,0.0062163603055070404,0.00038343558709441616
98,0.006055263750395954,0.000377380323344112
99,0.005899914529114656,0.00037148040881496147
100,0.005750052610565936,0.00036573035620446337
