YDH,Load
1301723,901.863
1301800,882.389
1301801,854.48
1301802,826.007
1301803,758.565
1301804,709.281
1301805,678.512
1301806,663.783
1301807,657.565
1301808,657.187
1301809,675.12
1301810,728.961
1301811,816.269
1301812,873.258
1301813,864.256
1301814,852.953
1301815,846.685
1301816,840.145
1301817,823.68
1301818,814.645
1301819,805.772
1301820,807.927
1301821,823.632
1301822,879.523
1301823,880.834
1301900,861.023
1301901,841.128
1301902,821.785
1301903,761.247
1301904,707.409
1301905,663.115
1301906,637.777
1301907,625.096
1301908,612.853
1301909,608.276
1301910,614.549
1301911,644.765
1301912,696.832
1301913,742.928
1301914,765.902
1301915,764.921
1301916,767.816
1301917,757.832
1301918,744.592
1301919,733.801
1301920,738.269
1301921,763.083
1301922,815.259
1301923,803.27
1302000,770.774
1302001,740.908
1302002,714.969
1302003,655.625
1302004,604.453
1302005,565.022
1302006,542.441
1302007,531.381
1302008,529.185
1302009,533.46
1302010,554.133
1302011,585.124
1302012,634.031
1302013,685.964
1302014,723.283
1302015,734.983
1302016,735.698
1302017,716.497
1302018,700.201
1302019,707.612
1302020,730.984
1302021,771.203
1302022,834.53
1302023,829.077
1302100,797.397
1302101,769.897
1302102,746.288
1302103,692.154
1302104,644.984
1302105,616.55
1302106,599.827
1302107,598.252
1302108,598.824
1302109,613.291
1302110,660.552
1302111,731.113
1302112,800.949
1302113,832.923
1302114,850.233
1302115,852.028
1302116,845.074
1302117,830.765
1302118,832.899
1302119,826.69
1302120,819.073
1302121,839.761
1302122,884.069
1302123,878.301
1302200,850.5
1302201,820.963
1302202,789.6
1302203,721.506
1302204,673.551
1302205,642.326
1302206,625.542
1302207,620.322
1302208,621.895
1302209,637.944
1302210,695.396
1302211,792.071
1302212,837.953
1302213,839.786
1302214,833.435
1302215,835.928
1302216,840.289
1302217,830.722
1302218,829.371
1302219,823.435
1302220,823.735
1302221,833.825
1302222,885.471
1302223,891.942
1302300,870.501
1302301,844.539
1302302,818.217
1302303,756.489
1302304,707.498
1302305,690.637
1302306,676.39
1302307,669.813
1302308,672.739
1302309,690.47
1302310,737.866
1302311,832.67
1302312,884.904
1302313,880.727
1302314,874.28
1302315,869.678
1302316,869.477
1302317,857.632
1302318,849.66
1302319,843.308
1302320,847.838
1302321,867.622
1302322,928.049
1302323,933.09
1302400,909.743
1302401,884.533
1302402,857.84
1302403,795.649
1302404,748.623
1302405,722.104
1302406,706.103
1302407,700.136
1302408,703.07
1302409,722.846
1302410,777.962
1302411,881.129
1302412,928.166
1302413,922.875
1302414,911.857
1302415,905.19
1302416,893.591
1302417,873.533
1302418,865.111
1302419,851.703
1302420,854.483
1302421,876.598
1302422,929.096
1302423,933.369
1302500,910.897
1302501,885.489
1302502,858.35
1302503,786.587
1302504,737.279
1302505,708.317
1302506,691.395
1302507,681.742
1302508,682.4
1302509,696.226
1302510,747.393
1302511,840.334
1302512,889.702
1302513,891.377
1302514,887.156
1302515,875.58
1302516,867.713
1302517,848.101
1302518,834.277
1302519,802.885
1302520,798.046
1302521,822.759
1302522,889.912
1302523,894.742
1302600,869.9
1302601,846.948
1302602,824.277
1302603,762.816
1302604,708.012
1302605,670.95
1302606,652.987
1302607,639.982
1302608,636.114
1302609,642.319
1302610,667.466
1302611,712.099
1302612,764.248
1302613,805.288
1302614,819.242
1302615,817.413
1302616,812.704
1302617,797.824
1302618,781.157
1302619,783.304
1302620,796.701
1302621,819.294
1302622,883.416
1302623,879.778
1302700,849.718
1302701,822.516
1302702,801.905
1302703,742.692
1302704,696.646
1302705,663.55
1302706,643.538
1302707,631.517
1302708,629.091
1302709,631.994
1302710,646.43
1302711,681.269
1302712,726.6
1302713,768.176
1302714,785.713
1302715,786.376
1302716,783.583
1302717,767.889
1302718,752.738
1302719,745.537
1302720,753.025
1302721,788.279
1302722,863.552
1302723,870.477
1302800,843.577
1302801,813.701
1302802,781.393
1302803,721.02
1302804,676.581
1302805,652.307
1302806,639.331
1302807,632.032
1302808,633.677
1302809,648.537
1302810,706.481
1302811,806.919
1302812,861.03
1302813,846.765
1302814,860.002
1302815,858.662
1302816,856.479
1302817,849.599
1302818,843.842
1302819,834.686
1302820,830.135
1302821,837.255
1302822,880.658
1302823,856.34
1302900,825.541
1302901,784.55
1302902,754.567
1302903,695.026
1302904,644.402
1302905,614.075
1302906,595.955
1302907,588.983
1302908,587.628
1302909,603.15
1302910,654.195
1302911,751.542
1302912,797.079
1302913,797.241
1302914,794.04
1302915,792.961
1302916,794.106
1302917,781.098
1302918,776.818
1302919,768.153
1302920,770.13
1302921,785.885
1302922,835.197
1302923,837.172
1303000,810.828
1303001,772.567
1303002,739.385
1303003,665.004
1303004,614.016
1303005,580.735
1303006,560.651
1303007,550.279
1303008,546.676
1303009,557.181
1303010,608.661
1303011,704.29
1303012,762.534
1303013,771.67
1303014,772.313
1303015,769.144
1303016,766.304
1303017,752.199
1303018,745.247
1303019,739.937
1303020,743.65
1303021,764.647
1303022,804.662
1303023,798.08
1303100,770.486
1303101,735.867
1303102,700.781
1303103,631.506
1303104,581.487
1303105,548.081
1303106,530.975
1303107,519.433
1303108,517.341
1303109,532.052
1303110,582.641
1303111,678.181
1303112,734.248
1303113,739.271
1303114,746.909
1303115,746.292
1303116,750.657
1303117,740.123
1303118,752.671
1303119,748.875
1303120,759.541
1303121,785.735
1303122,841.006
1303123,852.98
1303200,838.427
1303201,815.82
1303202,784.125
1303203,716.956
1303204,664.123
1303205,633.5
1303206,616.521
1303207,611.351
1303208,612.917
1303209,628.852
1303210,679.494
1303211,775.252
1303212,829.89
1303213,833.58
1303214,836.14
1303215,836.899
1303216,831.3
1303217,821.006
1303218,811.884
1303219,803.709
1303220,804.569
1303221,819.887
1303222,870.832
1303223,877.884
1303300,856.864
1303301,832.807
1303302,815.763
1303303,757.496
1303304,709.713
1303305,672.962
1303306,654.69
1303307,644.785
1303308,642.153
1303309,644.958
1303310,663.595
1303311,707.185
1303312,756.282
1303313,792.858
1303314,808.488
1303315,816.927
1303316,819.942
1303317,808.927
1303318,797.953
1303319,793.619
1303320,799.209
1303321,815.976
1303322,866.231
1303323,865.148
1303400,836.2
1303401,806.411
1303402,784.759
1303403,724.193
1303404,679.033
1303405,643.412
1303406,624.79
1303407,616.408
1303408,614.426
1303409,618.184
1303410,641.048
1303411,670.319
1303412,721.208
1303413,764.68
1303414,784.447
1303415,779.783
1303416,775.88
1303417,761.29
1303418,751.154
1303419,744.954
1303420,753.053
1303421,781.427
1303422,845.083
1303423,837.738
1303500,797.143
1303501,771.868
1303502,754.102
1303503,704.307
1303504,667.506
1303505,628.75
1303506,611.505
1303507,605.667
1303508,609.644
1303509,625.348
1303510,678.401
1303511,778.941
1303512,829
1303513,829.961
1303514,829.661
1303515,830.589
1303516,829.883
1303517,814.857
1303518,808.331
1303519,798.318
1303520,802.567
1303521,828.427
1303522,888.649
1303523,905.566
1303600,883.854
1303601,851.275
1303602,820.845
1303603,751.635
1303604,704.091
1303605,681.273
1303606,665.642
1303607,656.967
1303608,655.279
1303609,667.542
1303610,724.742
1303611,823.008
1303612,867.735
1303613,852.296
1303614,840.871
1303615,828.161
1303616,819.75
1303617,803.574
1303618,793.484
1303619,781.449
1303620,791.255
1303621,814.788
1303622,878.585
1303623,891.888
1303700,868.075
1303701,834.699
