YDH,PowerDen
1301908,0
1301909,0
1301910,0
1301911,0
1301912,0
1301913,0.06858438
1301914,0.2084094
1301915,0.3232656
1301916,0.3954625
1301917,0.4184656
1301918,0.3886625
1301919,0.3092938
1301920,0.1896031
1301921,0.1017344
1301922,0
1301923,0
1302000,0
1302001,0
1302002,0
1302003,0
1302004,0
1302005,0
1302006,0
1302007,0
1302008,0
1302009,0
1302010,0
1302011,0
1302012,0
1302013,0.07278125
1302014,0.2151563
1302015,0.328525
1302016,0.357425
1302017,0.3443031
1302018,0.3929656
1302019,0.3018031
1302020,0.1839187
1302021,0.05232812
1302022,0
1302023,0
1302100,0
1302101,0
1302102,0
1302103,0
1302104,0
1302105,0
1302106,0
1302107,0
1302108,0
1302109,0
1302110,0
1302111,0
1302112,0
1302113,0.07363125
1302114,0.2143063
1302115,0.325975
1302116,0.3899375
1302117,0.4050781
1302118,0.3605063
1302119,0.2785875
1302120,0.1567187
1302121,0.00425
1302122,0
1302123,0
1302200,0
1302201,0
1302202,0
1302203,0
1302204,0
1302205,0
1302206,0
1302207,0
1302208,0
1302209,0
1302210,0
1302211,0
1302212,0
1302213,0.08000625
1302214,0.2281719
1302215,0.1864688
1302216,0.3920094
1302217,0.4488
1302218,0.4174562
1302219,0.3343156
1302220,0.2085156
1302221,0.05923437
1302222,0
1302223,0
1302300,0
1302301,0
1302302,0
1302303,0
1302304,0
1302305,0
1302306,0
1302307,0
1302308,0
1302309,0
1302310,0
1302311,0
1302312,0
1302313,0.081175
1302314,0.2301375
1302315,0.3521125
1302316,0.4268062
1302317,0.4510844
1302318,0.4191031
1302319,0.3626443
1302320,0.2491317
1302321,0.1108719
1302322,0
1302323,0
1302400,0
1302401,0
1302402,0
1302403,0
1302404,0
1302405,0
1302406,0
1302407,0
1302408,0
1302409,0
1302410,0
1302411,0
1302412,0
1302413,0.05216875
1302414,0.2353438
1302415,0.3563094
1302416,0.4320125
1302417,0.4563969
1302418,0.4256375
1302419,0.3406906
1302420,0.2140937
1302421,0.06385625
1302422,0
1302423,0
1302500,0
1302501,0
1302502,0
1302503,0
1302504,0
1302505,0
1302506,0
1302507,0
1302508,0
1302509,0
1302510,0
1302511,0
1302512,0
1302513,0.02194062
1302514,0.08404375
1302515,0.1411
1302516,0.2763563
1302517,0.2407094
1302518,0.1760563
1302519,0.1162375
1302520,0.05726875
1302521,0.006003125
1302522,0
1302523,0
1302600,0
1302601,0
1302602,0
1302603,0
1302604,0
1302605,0
1302606,0
1302607,0
1302608,0
1302609,0
1302610,0
1302611,0
1302612,0
1302613,0.08962187
1302614,0.2368844
1302615,0.3553
1302616,0.4302062
1302617,0.4463031
1302618,0.4195281
1302619,0.3394687
1302620,0.2155281
1302621,0.06730937
1302622,0
1302623,0
1302700,0
1302701,0
1302702,0
1302703,0
1302704,0
1302705,0
1302706,0
1302707,0
1302708,0
1302709,0
1302710,0
1302711,0
1302712,0
1302713,0.093075
1302714,0.2437375
1302715,0.3649687
1302716,0.43945
1302717,0.4620812
1302718,0.4294094
1302719,0.3461094
1302720,0.2203625
1302721,0.07039063
1302722,0
1302723,0
1302800,0
1302801,0
1302802,0
1302803,0
1302804,0
1302805,0
1302806,0
1302807,0
1302808,0
1302809,0
1302810,0
1302811,0
1302812,0
1302813,0.00138125
1302814,0.01227188
1302815,0.06093438
1302816,0.377145
1302817,0.42347
1302818,0.42891
1302819,0.3773479
1302820,0.2516
1302821,0.130815
1302822,0
1302823,0
1302900,0
1302901,0
1302902,0
1302903,0
1302904,0
1302905,0
1302906,0
1302907,0
1302908,0
1302909,0
1302910,0
1302911,0
1302912,0
1302913,0.00818125
1302914,0.2327937
1302915,0.05753437
1302916,0.4265406
1302917,0.4427437
1302918,0.4217062
1302919,0.07299375
1302920,0.0085
1302921,0.00329375
1302922,0
1302923,0
1303000,0
1303001,0
1303002,0
1303003,0
1303004,0
1303005,0
1303006,0
1303007,0
1303008,0
1303009,0
1303010,0
1303011,0
1303012,0
1303013,0
1303014,0.02778437
1303015,0.04876875
1303016,0.1798281
1303017,0.09806875
1303018,0.05466563
1303019,0.02937812
1303020,0.085
1303021,0.1404316
1303022,0
1303023,0
1303100,0
1303101,0
1303102,0
1303103,0
1303104,0
1303105,0
1303106,0
1303107,0
1303108,0
1303109,0
1303110,0
1303111,0
1303112,0
1303113,0.08723125
1303114,0.2495281
1303115,0.3759656
1303116,0.4601687
1303117,0.4933188
1303118,0.4414156
1303119,0.4025987
1303120,0.2861431
1303121,0.1429594
1303122,0
1303123,0
1303200,0
1303201,0
1303202,0
1303203,0
1303204,0
1303205,0
1303206,0
1303207,0
1303208,0
1303209,0
1303210,0
1303211,0
1303212,0
1303213,0.05525
1303214,0.08611562
1303215,0.1881687
1303216,0.2492094
1303217,0.310675
1303218,0.3448875
1303219,0.3428156
1303220,0.04701563
1303221,0.08122813
1303222,0
1303223,0
1303300,0
1303301,0
1303302,0
1303303,0
1303304,0
1303305,0
1303306,0
1303307,0
1303308,0
1303309,0
1303310,0
1303311,0
1303312,0
1303313,0.1106594
1303314,0.2653062
1303315,0.3858469
1303316,0.4602219
1303317,0.4825343
1303318,0.4499688
1303319,0.3662571
1303320,0.2359281
1303321,0.0529125
1303322,0
1303323,0
1303400,0
1303401,0
1303402,0
1303403,0
1303404,0
1303405,0
1303406,0
1303407,0
1303408,0
1303409,0
1303410,0
1303411,0
1303412,0
1303413,0.1033281
1303414,0.2551594
1303415,0.1050813
1303416,0.14705
1303417,0.26605
1303418,0.2431
1303419,0.13005
1303420,0.06789375
1303421,0.09190625
1303422,0
1303423,0
1303500,0
1303501,0
1303502,0
1303503,0
1303504,0
1303505,0
1303506,0
1303507,0
1303508,0
1303509,0
1303510,0
1303511,0
1303512,0
1303513,0.1207
1303514,0.2737531
1303515,0.3958875
1303516,0.4706875
1303517,0.4919375
1303518,0.4582031
1303519,0.3754875
1303520,0.2488906
1303521,0.09519999
1303522,0
1303523,0
1303600,0
1303601,0
1303602,0
1303603,0
1303604,0
1303605,0
1303606,0
1303607,0
1303608,0
1303609,0
1303610,0
1303611,0
1303612,0
1303613,0.009828125
1303614,0.0329375
1303615,0.07899687
1303616,0.1179906
1303617,0.06178438
1303618,0.08191875
1303619,0.1156038
1303620,0.03989687
1303621,0
1303622,0
1303623,0
1303700,0
1303701,0
1303702,0
1303703,0
1303704,0
1303705,0
1303706,0
1303707,0
1303708,0
1303709,0
1303710,0
1303711,0
1303712,0
1303713,0.1114031
1303714,0.2767813
1303715,0.3991812
1303716,0.4668625
1303717,0.4956563
1303718,0.4639406
1303719,0.3812781
1303720,0.2548836
1303721,0.1024781
1303722,0
1303723,0
1303800,0
1303801,0
1303802,0
1303803,0
1303804,0
1303805,0
1303806,0
1303807,0
1303808,0
1303809,0
1303810,0
1303811,0
1303812,0
1303813,0.02751875
1303814,0.1025844
1303815,0.1734531
1303816,0.3133312
1303817,0.2595688
1303818,0.2863969
1303819,0.2186625
1303820,0.09700625
1303821,0.02417188
1303822,0
1303823,0
1303900,0
1303901,0
1303902,0
1303903,0
1303904,0
1303905,0
1303906,0
1303907,0
1303908,0
1303909,0
1303910,0
1303911,0
1303912,0
1303913,0.00563125
1303914,0.03118438
1303915,0.05647187
1303916,0.06895626
1303917,0.05790625
1303918,0.04584688
1303919,0.0376125
1303920,0.01344062
1303921,0.0014875
1303922,0
1303923,0
1304000,0
1304001,0
1304002,0
1304003,0
1304004,0
1304005,0
1304006,0
1304007,0
